U.S. Census Bureau,
Source: U.S. International Trade in Goods and Services,
Balance of Payment Goods and Services: United States,
Seasonally Adjusted Balance [Millions of Dollars],
Period: 1992 to 2015,
"Data Extracted on: November 20, 2015 (4:48 pm)",
,
Period,Value
Jan-92,-2026
Feb-92,-831
Mar-92,-2641
Apr-92,-3109
May-92,-3919
Jun-92,-2824
Jul-92,-2781
Aug-92,-4455
Sep-92,-3530
Oct-92,-3520
Nov-92,-3968
Dec-92,-5603
Jan-93,-3871
Feb-93,-3596
Mar-93,-6777
Apr-93,-6445
May-93,-4369
Jun-93,-6929
Jul-93,-6382
Aug-93,-5581
Sep-93,-7031
Oct-93,-6594
Nov-93,-7016
Dec-93,-5719
Jan-94,-6207
Feb-94,-9245
Mar-94,-6466
Apr-94,-7887
May-94,-7728
Jun-94,-8380
Jul-94,-8739
Aug-94,-8303
Sep-94,-8310
Oct-94,-9158
Nov-94,-9615
Dec-94,-8456
Jan-95,-9324
Feb-95,-8817
Mar-95,-9708
Apr-95,-9609
May-95,-9090
Jun-95,-10623
Jul-95,-7688
Aug-95,-6704
Sep-95,-5924
Oct-95,-6114
Nov-95,-6514
Dec-95,-6271
Jan-96,-8465
Feb-96,-7319
Mar-96,-7756
Apr-96,-8744
May-96,-9259
Jun-96,-7460
Jul-96,-10132
Aug-96,-10357
Sep-96,-10195
Oct-96,-6635
Nov-96,-7268
Dec-96,-10475
Jan-97,-11269
Feb-97,-9776
Mar-97,-8383
Apr-97,-8086
May-97,-8394
Jun-97,-7154
Jul-97,-7033
Aug-97,-8743
Sep-97,-9269
Oct-97,-9089
Nov-97,-9786
Dec-97,-11289
Jan-98,-10776
Feb-98,-11564
Mar-98,-12880
Apr-98,-13940
May-98,-14202
Jun-98,-13247
Jul-98,-13949
Aug-98,-16028
Sep-98,-14820
Oct-98,-14815
Nov-98,-15173
Dec-98,-14745
Jan-99,-15946
Feb-99,-18786
Mar-99,-17900
Apr-99,-18254
May-99,-20229
Jun-99,-23115
Jul-99,-23421
Aug-99,-22977
Sep-99,-22899
Oct-99,-23531
Nov-99,-25224
Dec-99,-26337
Jan-00,-27088
Feb-00,-29930
Mar-00,-31154
Apr-00,-28800
May-00,-29813
Jun-00,-30966
Jul-00,-31426
Aug-00,-30035
Sep-00,-34018
Oct-00,-33224
Nov-00,-32607
Dec-00,-33454
Jan-01,-34817
Feb-01,-29349
Mar-01,-32732
Apr-01,-31217
May-01,-27446
Jun-01,-29140
Jul-01,-30081
Aug-01,-28171
Sep-01,-31141
Oct-01,-30839
Nov-01,-29737
Dec-01,-26839
Jan-02,-29355
Feb-02,-32287
Mar-02,-30825
Apr-02,-33666
May-02,-33921
Jun-02,-34900
Jul-02,-33650
Aug-02,-35743
Sep-02,-36519
Oct-02,-35171
Nov-02,-39624
Dec-02,-43294
Jan-03,-40740
Feb-03,-39363
Mar-03,-43355
Apr-03,-41987
May-03,-40779
Jun-03,-39621
Jul-03,-41363
Aug-03,-39802
Sep-03,-41706
Oct-03,-41271
Nov-03,-39841
Dec-03,-44064
Jan-04,-44352
Feb-04,-44322
Mar-04,-46484
Apr-04,-47479
May-04,-48169
Jun-04,-54702
Jul-04,-51293
Aug-04,-53316
Sep-04,-51489
Oct-04,-54961
Nov-04,-58819
Dec-04,-54500
Jan-05,-55561
Feb-05,-57454
Mar-05,-52619
Apr-05,-57115
May-05,-56264
Jun-05,-58260
Jul-05,-58063
Aug-05,-58388
Sep-05,-64923
Oct-05,-67140
Nov-05,-64090
Dec-05,-64366
Jan-06,-66680
Feb-06,-62851
Mar-06,-62574
Apr-06,-62844
May-06,-64844
Jun-06,-63481
Jul-06,-66525
Aug-06,-67823
Sep-06,-64936
Oct-06,-58990
Nov-06,-58575
Dec-06,-61592
Jan-07,-57656
Feb-07,-58478
Mar-07,-61797
Apr-07,-60514
May-07,-59288
Jun-07,-59520
Jul-07,-59914
Aug-07,-57005
Sep-07,-57794
Oct-07,-56538
Nov-07,-59717
Dec-07,-57154
Jan-08,-61139
Feb-08,-64348
Mar-08,-60064
Apr-08,-63528
May-08,-62151
Jun-08,-60670
Jul-08,-66842
Aug-08,-62108
Sep-08,-60499
Oct-08,-60191
Nov-08,-44724
Dec-08,-42463
Jan-09,-37842
Feb-09,-27767
Mar-09,-29162
Apr-09,-29705
May-09,-25372
Jun-09,-26367
Jul-09,-32790
Aug-09,-31267
Sep-09,-34491
Oct-09,-33826
Nov-09,-37203
Dec-09,-37983
Jan-10,-37154
Feb-10,-41034
Mar-10,-39766
Apr-10,-40864
May-10,-41333
Jun-10,-46557
Jul-10,-40413
Aug-10,-44921
Sep-10,-44042
Oct-10,-39998
Nov-10,-37762
Dec-10,-40815
Jan-11,-47123
Feb-11,-43718
Mar-11,-43478
Apr-11,-42227
May-11,-47220
Jun-11,-49433
Jul-11,-45689
Aug-11,-44968
Sep-11,-43305
Oct-11,-44962
Nov-11,-47044
Dec-11,-49460
Jan-12,-50983
Feb-12,-43570
Mar-12,-50218
Apr-12,-47254
May-12,-45970
Jun-12,-43460
Jul-12,-43370
Aug-12,-44107
Sep-12,-40064
Oct-12,-43041
Nov-12,-46667
Dec-12,-38070
Jan-13,-41589
Feb-13,-42754
Mar-13,-37524
Apr-13,-39764
May-13,-43864
Jun-13,-37628
Jul-13,-39764
Aug-13,-39960
Sep-13,-42430
Oct-13,-39904
Nov-13,-35764
Dec-13,-37449
Jan-14,-39462
Feb-14,-42835
Mar-14,-43121
Apr-14,-44271
May-14,-42070
Jun-14,-42371
Jul-14,-41411
Aug-14,-41275
Sep-14,-43186
Oct-14,-42753
Nov-14,-40021
Dec-14,-45549
Jan-15,-43588
Feb-15,-38537
Mar-15,-52163
Apr-15,-42258
May-15,-42535
Jun-15,-45205
Jul-15,-41807
Aug-15,-48017
Sep-15,-40812
Oct-15,NA
Nov-15,NA
Dec-15,NA
