A000370,Adams,Alma
A000055,Aderholt,Robert
A000367,Amash,Justin
A000369,Amodei,Mark
B001256,Bachmann,Michele
B000013,Bachus,Spencer
B001279,Barber,Ron
B001269,Barletta,Lou
B001252,Barrow,John
B000213,Barton,Joe
B001270,Bass,Karen
B001281,Beatty,Joyce
B000287,Becerra,Xavier
B001271,Benishek,Dan
B001280,Bentivolio,Kerry
B001287,Bera,Ami
B001257,Bilirakis,Gus
B001250,Bishop,Rob
B000490,Bishop,Sanford
B001242,Bishop,Timothy
B001273,Black,Diane
B001243,Blackburn,Marsha
B000574,Blumenauer,Earl
B000589,Boehner,John
B001278,Bonamici,Suzanne
B001245,Bordallo,Madeleine
B001255,Boustany,Charles
B000755,Brady,Kevin
B001227,Brady,Robert
B001259,Braley,Bruce
B001283,Bridenstine,Jim
B001274,Brooks,Mo
B001284,Brooks,Susan
B001262,Broun,Paul
B000911,Brown,Corrine
B001285,Brownley,Julia
B001260,Buchanan,Vern
B001275,Bucshon,Larry
B001248,Burgess,Michael
B001286,Bustos,Cheri
B001289,Byrne,Bradley
C000059,Calvert,Ken
C000071,Camp,Dave
C001064,Campbell,John
C001047,Capito,Shelley
C001036,Capps,Lois
C001037,Capuano,Michael
